样本id,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,收率
37,300,,405,700,17:30:00,24,,,19:00:00,100,20:00:00,102,0.2,21:00:00,102,22:00:00,102,0.2,300,3:00-3:30,50,10,5,3:30:00,70,4:00:00,78,11:00-12:00,310,3.5,3.5,12:00-13:30,13:30:00,60,16:00:00,40,16:30-18:00,18:30-20:00,,800,0.15,400,0.891
39,300,,405,700,14:00:00,21,,,15:00:00,100,16:00:00,102,0.2,17:30:00,103,18:00:00,102,0.2,300,20:00-20:30,40,9,5,20:30:00,70,21:00:00,78,4:00-5:00,310,3.5,3.5,5:30-6:30,6:30:00,65,12:00:00,40,12:00-13:30,14:00-15:30,,800,0.15,440,0.9797
41,300,,405,700,7:00:00,23,,,8:00:00,100,9:00:00,103,0.2,10:00:00,103,11:00:00,103,0.2,300,16:00-16:30,50,10,5,16:30:00,70,17:00:00,78,0:00-1:00,310,3.5,3.5,1:00-2:30,2:30:00,60,6:30:00,40,8:00-9:30,10:30-11:00,,800,0.15,440,0.967
42,300,,405,700,17:30:00,22,,,18:30:00,100,19:30:00,102,0.2,20:30:00,104,21:30:00,104,0.2,300,1:00-1:30,50,9,5,1:30:00,70,2:00:00,78,10:10-11:10,310,3.5,3.5,11:00-12:30,12:30:00,60,17:00:00,40,17:00-18:30,19:00-20:30,,800,0.15,400,0.902
43,300,,405,700,3:30:00,21,,,4:30:00,100,5:30:00,102,0.2,6:30:00,103,7:30:00,104,0.2,300,11:00-11:30,40,9,5,11:30:00,70,12:00:00,78,19:00-20:00,300,3.5,3.5,20:00-21:30,21:30:00,60,2:00:00,40,3:00-4:30,5:00-6:30,,800,0.15,400,0.902
44,300,,405,700,13:30:00,23,,,15:00:00,100,16:00:00,102,0.2,17:00:00,102,18:00:00,103,0.2,300,20:00-21:30,50,10,5,21:30:00,70,22:00:00,78,5:00-6:00,300,3.5,3.5,6:00-7:30,7:30:00,60,11:00:00,40,12:30-14:00,14:30-16:00,,800,0.15,400,0.902
45,300,,405,700,23:00:00,24,,,0:30:00,100,1:30:00,102,0.2,2:30:00,104,3:30:00,104,0.2,300,6:30-7:00,50,9,5,7:00:00,70,7:30:00,78,15:30-16:30,310,3.5,3.5,16:30-17:30,17:30:00,60,19:30:00,40,21:00-22:30,23:00-0:30,,800,0.15,400,0.902
47,300,,405,700,18:00:00,21,,,19:00:00,100,20:00:00,102,0.2,21:00:00,103,22:00:00,103,0.2,300,0:30-1:00,40,9,5,1:00:00,70,1:30:00,78,10:00-11:00,300,3.5,3.5,11:00-12:30,12:30:00,60,16:00:00,40,16:00-17:30,18:00-19:30,,800,0.15,420,0.935
50,300,,405,700,3:00:00,20,,,4:00:00,100,5:00:00,104,0.2,6:00:00,106,7:00:00,106,0.2,300,7:20-7:50,50,9,5,8:20:00,70,8:50:00,75,8:50-10:00,350,3.5,3.5,10:00-11:00,11:00:00,69,12:30:00,46,12:30-14:00,14:30-16:00,,800,0.15,400,0.902
51,300,,405,700,8:00:00,20,,,9:00:00,100,10:00:00,105,0.2,11:00:00,105,12:00:00,107,0.2,300,12:20-12:50,50,9,5,13:20:00,70,13:50:00,70,13:50-15:00,350,3.5,3.5,15:00-16:00,16:00:00,68,17:30:00,45,17:00-19:00,19:30-21:00,,800,0.15,400,0.902
52,300,,405,700,13:00:00,18,,,14:00:00,100,15:00:00,103,0.2,16:00:00,104,17:00:00,105,0.2,300,17:20-17:50,50,9,5,18:20:00,70,18:50:00,77,18:50-20:00,350,3.5,3.5,20:00-21:00,21:00:00,69,22:30:00,46,22:30-0:00,0:30-2:00,,800,0.15,400,0.902
57,300,,405,700,14:00:00,18,,,15:00:00,100,16:00:00,104,0.2,17:00:00,105,18:00:00,105,0.2,300,18:20-18:50,50,9,5,19:20:00,70,19:50:00,77,19:50-21:00,350,3.5,3.5,21:00-22:00,22:00:00,70,23:30:00,45,23:30-1:00,1:30-3:00,,800,0.15,400,0.902
58,300,,405,700,19:00:00,18,,,20:00:00,100,21:00:00,105,0.2,22:00:00,104,23:00:00,106,0.2,300,23:20-23:50,50,9,5,0:20:00,70,0:50:00,75,0:50-2:00,350,3.5,3.5,2:00-3:00,3:00:00,71,4:30:00,45,4:30-6:00,6:30-8:00,,800,0.15,400,0.902
60,300,,405,700,5:00:00,18,,,6:00:00,100,7:00:00,103,0.2,8:00:00,105,9:00:00,107,0.2,300,9:20-9:50,50,9,5,10:20:00,70,10:50:00,74,10:50-12:00,350,3.5,3.5,12:00-13:00,13:00:00,70,14:30:00,45,14:30-16:00,16:30-18:00,,800,0.15,400,0.902
61,300,,405,700,10:00:00,18,,,11:00:00,100,12:00:00,106,0.2,13:00:00,106,14:00:00,105,0.2,300,14:20-14:50,50,9,5,15:20:00,70,15:50:00,75,15:50-17:00,350,3.5,3.5,17:00-18:00,18:00:00,70,19:30:00,45,19:30-21:00,21:30-23:00,,800,0.15,400,0.902
63,300,,405,700,20:00:00,18,,,21:00:00,100,22:00:00,103,0.2,23:00:00,104,0:00:00,105,0.2,300,0:20-0:50,50,9,5,1:20:00,70,1:50:00,75,1:50-3:00,350,3.5,3.5,3:00-4:00,4:00:00,71,5:30:00,45,5:30-7:00,7:30-9:00,,800,0.15,400,0.902
64,300,,405,700,1:00:00,18,,,2:00:00,100,3:00:00,104,0.2,4:00:00,105,5:00:00,106,0.2,300,5:20-5:50,50,9,5,6:20:00,70,6:50:00,75,6:50-8:00,350,3.5,3.5,8:00-9:00,9:00:00,70,10:30:00,45,10:30-12:00,12:30-14:00,,800,0.15,400,0.902
65,300,,405,700,6:00:00,18,,,7:00:00,100,8:00:00,105,0.2,9:00:00,106,10:00:00,107,0.2,300,10:20-10:50,50,9,5,11:20:00,70,11:50:00,75,11:50-13:00,350,3.5,3.5,13:00-14:00,14:00:00,70,15:30:00,45,15:30-17:00,17:30-19:00,,800,0.15,400,0.902
66,300,,405,700,11:00:00,18,,,12:00:00,100,13:00:00,105,0.2,14:00:00,105,15:00:00,106,0.2,300,15:20-15:50,50,9,5,16:20:00,70,16:50:00,76,16:50-18:00,350,3.5,3.5,18:00-19:00,19:00:00,69,20:30:00,45,20:30-22:00,22:30-0:00,,800,0.15,400,0.902
68,300,,405,700,21:00:00,18,,,22:00:00,100,23:00:00,106,0.2,0:00:00,106,1:00:00,107,0.2,300,1:20-1:50,50,9,5,2:20:00,70,2:50:00,76,2:50-4:00,350,3.5,3.5,4:00-5:00,5:00:00,70,6:30:00,45,6:30-8:00,8:30-10:00,,800,0.15,400,0.902
69,300,,405,700,2:00:00,18,,,3:00:00,100,4:00:00,103,0.2,5:00:00,105,6:00:00,105,0.2,300,11:20-11:50,50,9,5,7:20:00,70,7:50:00,74,7:50-9:00,350,3.5,3.5,9:00-10:00,10:00:00,70,11:30:00,45,11:30-13:00,13:30-15:00,,800,0.15,400,0.902
70,300,,405,700,7:00:00,18,,,8:00:00,100,9:00:00,104,0.2,10:00:00,106,11:00:00,107,0.2,300,12:00-12:30,50,9,5,12:20:00,70,12:50:00,76,12:50-14:00,350,3.5,3.5,14:00-15:00,15:00:00,70,16:30:00,45,16:30-18:00,18:30-20:00,,800,0.15,400,0.902
71,300,,405,700,12:00:00,18,,,13:00:00,100,14:00:00,104,0.2,15:00:00,104,16:00:00,105,0.2,300,1:20-1:50,50,9,5,17:20:00,70,17:50:00,75,17:50-19:00,350,3.5,3.5,19:00-20:00,20:00:00,70,21:30:00,45,21:30-23:00,23:30-1:00,,800,0.15,400,0.902
72,300,,405,700,22:00:00,30,,,0:00:00,101,1:00:00,103,0.2,2:00:00,105,3:00:00,107,0.2,200,3:00-4:00,50,9,5,4:00:00,80,5:00:00,72,5:00-6:00,320,3.5,3.5,6:00-7:00,7:00:00,78,9:00:00,45,9:00-10:30,10:30-12:00,12:00-13:00,1200,0.15,420,0.971
73,300,,405,700,6:00:00,29,,,8:00:00,100,9:00:00,102,0.2,10:00:00,103,11:00:00,105,0.2,200,11:00-12:00,50,9,5,12:00:00,80,13:00:00,45,13:00-14:00,320,3.5,3.5,14:00-15:00,15:00:00,80,17:00:00,45,17:00-18:30,18:30-20:00,20:00-21:00,1200,0.15,400,0.902
74,300,,405,700,14:00:00,29,,,16:00:00,102,17:00:00,103,0.2,18:00:00,104,19:00:00,105,0.2,200,19:00-20:00,50,9,5,20:00:00,80,21:00:00,73,21:00-22:00,320,3.5,3.5,22:00-23:00,23:00:00,80,1:00:00,45,1:00-2:30,2:30-4:00,4:00-5:00,1200,0.15,400,0.891
75,300,,405,700,22:00:00,29,,,0:00:00,101,1:00:00,103,0.2,2:00:00,104,3:00:00,105,0.2,200,3:00-4:00,50,9,5,4:00:00,80,5:00:00,73,5:00-6:00,320,3.5,3.5,6:00-7:00,7:00:00,80,9:00:00,45,9:00-10:30,10:30-12:00,12:00-13:00,1200,0.15,420,0.947
76,300,,405,700,6:00:00,29,,,8:00:00,101,9:00:00,103,0.2,10:00:00,105,11:00:00,107,0.2,200,11:00-12:00,50,9,5,12:00:00,80,13:00:00,72,13:00-14:00,320,3.5,3.5,14:00-15:00,15:00:00,79,17:00:00,45,17:00-18:30,18:30-20:00,20:00-21:00,1200,0.15,400,0.902
79,300,,405,700,6:00:00,29,,,8:00:00,102,9:00:00,103,0.2,10:00:00,104,11:00:00,105,0.2,200,11:00-12:00,50,9,5,12:00:00,80,13:00:00,73,13:00-14:00,320,3.5,3.5,14:00-15:00,15:00:00,80,17:00:00,45,17:00-18:30,18:30-20:00,20:00-21:00,1200,0.15,400,0.879
80,300,,405,700,14:00:00,29,,,16:00:00,101,17:00:00,103,0.2,18:00:00,104,19:00:00,105,0.2,200,19:00-20:00,50,9,5,19:00:00,80,20:00:00,72,20:00-21:00,320,3.5,3.5,22:00-23:00,23:00:00,79,1:00:00,45,1:00-2:30,2:30-4:00,4:00-5:00,1200,0.15,400,0.902
82,300,,405,700,6:00:00,29,,,8:00:00,100,9:00:00,102,0.2,10:00:00,103,11:00:00,104,0.2,200,11:00-12:00,50,9,5,12:00:00,80,13:00:00,73,13:00-14:00,320,3.5,3.5,14:00-15:00,15:00:00,80,17:00:00,45,17:00-18:30,18:30-20:00,20:00-21:00,1200,0.15,400,0.902
84,300,,405,700,22:00:00,29,,,0:00:00,101,1:00:00,103,0.2,2:00:00,104,3:00:00,105,0.2,200,3:00-4:00,50,9,5,4:00:00,80,5:00:00,73,5:00-6:00,320,3.5,3.5,6:00-7:00,7:00:00,80,9:00:00,45,9:00-10:30,10:30-12:00,12:00-13:00,1200,0.15,420,0.918
85,300,,405,700,6:00:00,29,,,8:00:00,101,9:00:00,103,0.2,10:00:00,105,11:00:00,106,0.2,200,11:00-12:00,50,9,5,12:00:00,80,13:00:00,72,13:00-14:00,320,3.5,3.5,14:00-15:00,15:00:00,79,17:00:00,45,17:00-18:30,18:30-20:00,20:00-21:00,1200,0.15,400,0.902
87,300,,405,700,22:00:00,29,,,0:00:00,102,1:00:00,103,0.2,2:00:00,104,3:00:00,105,0.2,200,3:00-4:00,50,9,5,4:00:00,78,5:00:00,73,5:00-6:00,320,3.5,3.5,6:00-7:00,7:00:00,80,9:00:00,45,9:00-10:30,10:30-12:00,12:00-13:00,1200,0.15,420,0.947
88,300,,405,700,6:00:00,29,,,8:00:00,102,9:00:00,103,0.2,10:00:00,104,11:00:00,105,0.2,200,11:00-12:00,50,9,5,12:00:00,80,13:00:00,73,13:00-14:00,320,3.5,3.5,14:00-15:00,15:00:00,80,17:00:00,45,17:00-18:30,18:30-20:00,20:00-21:00,1200,0.15,400,0.902
89,300,,405,700,14:00:00,29,,,16:00:00,101,17:00:00,103,0.2,18:00:00,104,19:00:00,105,0.2,200,19:00-20:00,50,9,5,20:00:00,80,21:00:00,73,21:00-22:00,320,3.5,3.5,22:00-23:00,23:00:00,79,1:00:00,45,1:00-2:30,2:30-4:00,4:00-5:00,1200,0.15,400,0.891
91,300,,405,700,6:00:00,30,,,8:00:00,101,9:00:00,103,0.2,10:00:00,104,11:00:00,105,0.2,200,11:00-12:00,50,9,5,12:00:00,78,13:00:00,73,13:00-14:00,320,3.5,3.5,14:00-15:00,15:00:00,80,17:00:00,45,17:00-18:30,18:30-20:00,20:00-21:00,1200,0.15,400,0.902
92,300,,405,700,14:00:00,29,,,16:00:00,102,17:00:00,103,0.2,18:00:00,104,19:00:00,105,0.2,200,19:00-20:00,50,9,5,20:00:00,80,21:00:00,73,21:00-22:00,320,3.5,3.5,22:00-23:00,23:00:00,80,1:00:00,45,1:00-2:30,2:30-4:00,4:00-5:00,1200,0.15,400,0.913
94,300,,405,700,6:00:00,29,,,8:00:00,101,9:00:00,103,0.2,10:00:00,105,11:00:00,107,0.2,200,11:00-12:00,50,9,5,12:00:00,79,13:00:00,72,13:00-14:00,320,3.5,3.5,14:00-15:00,15:00:00,78,17:00:00,45,17:00-18:30,18:30-20:00,20:00-21:00,1200,0.15,400,0.902
95,300,,405,700,14:00:00,30,,,16:00:00,101,17:00:00,103,0.2,18:00:00,105,19:00:00,106,0.2,200,19:00-20:00,50,9,5,20:00:00,80,21:00:00,73,21:00-22:00,320,3.5,3.5,22:00-23:00,23:00:00,80,1:00:00,45,1:00-2:30,2:30-4:00,4:00-5:00,1200,0.15,400,0.891
96,300,,405,700,22:00:00,28,,,0:00:00,102,1:00:00,103,0.2,2:00:00,104,3:00:00,105,0.2,200,3:00-4:00,50,9,5,4:00:00,78,5:00:00,73,5:00-6:00,320,3.5,3.5,6:00-7:00,7:00:00,80,9:00:00,45,9:00-10:30,10:30-12:00,12:00-13:00,1200,0.15,420,0.947
97,300,,405,700,16:00:00,29,,,18:00:00,102,19:00:00,104,0.2,20:00:00,105,21:00:00,106,0.2,200,21:00-22:00,50,9,5,22:00:00,80,23:00:00,73,23:00-24:00,320,3.5,3.5,24:00-1:00,1:00:00,80,21:00:00,45,3:00-4:30,4:30-6:00,6:00-7:00,1200,0.15,400,0.902
98,300,,405,700,0:00:00,30,,,2:00:00,100,3:00:00,101,0.2,4:00:00,103,5:00:00,105,0.2,200,5:00-6:00,50,9,5,6:00:00,79,7:00:00,72,7:00-8:00,320,3.5,3.5,8:00-9:00,9:00:00,80,11:00:00,45,11:00-12:30,12:30-14:00,14:00-15:00,1200,0.15,400,0.925
99,300,,405,700,11:00:00,29,,,13:00:00,102,13:00:00,103,0.2,14:00:00,104,15:00:00,105,0.2,200,15:00-17:00,50,9,5,17:00:00,78,18:00:00,73,18:00-19:00,320,3.5,3.5,19:00-20:00,20:00:00,80,22:00:00,45,22:00-23:30,23:00-0:30,0:30-1:00,1200,0.15,420,0.947
100,300,,405,700,20:00:00,29,,,22:00:00,101,23:00:00,103,0.2,0:00:00,104,1:00:00,105,0.2,200,1:00-2:00,50,9,5,2:00:00,80,3:00:00,73,3:00-4:00,320,3.5,3.5,4:00-5:00,5:00:00,80,7:00:00,45,7:00-8:30,8:30-10:00,10:00-11:00,1200,0.15,400,0.902
101,300,,405,700,4:00:00,29,,,6:00:00,101,7:00:00,102,0.2,8:00:00,103,9:00:00,106,0.2,200,9:00-10:00,50,9,5,10:00:00,79,11:00:00,72,11:00-12:00,,,,12:00-13:00,13:00:00,78,5:00:00,45,15:00-16:30,16:30-18:00,18:00-19:00,1200,0.15,400,0.913
102,300,,405,700,12:00:00,30,,,14:00:00,101,15:00:00,103,0.2,16:00:00,105,17:00:00,106,0.2,200,17:00-18:00,50,9,5,18:00:00,80,19:00:00,73,19:00-20:00,3.5,3.5,3.5,20:00-21:00,21:00:00,80,23:00:00,45,23:00-1:30,1:00-2:30,2:30-3:30,1200,0.15,420,0.942
103,300,,405,700,20:00:00,29,,,22:00:00,102,23:00:00,103,0.2,0:00:00,104,1:00:00,105,0.2,200,1:00-2:00,50,9,5,2:00:00,78,3:00:00,73,3:00-4:00,320,3.5,3.5,4:00-5:00,5:00:00,80,7:00:00,45,7:00-8:30,8:30-10:00,10:00-11:00,1200,0.15,400,0.902
104,300,,405,700,4:00:00,29,,,6:00:00,102,7:00:00,103,0.2,8:00:00,104,9:00:00,105,0.2,200,9:00-10:00,50,9,5,10:00:00,79,11:00:00,72,11:00-12:00,320,3.5,3.5,12:00-13:00,13:00:00,80,15:00:00,45,15:00-16:30,16:30-18:00,18:00-19:00,1200,0.15,400,0.902
105,300,,405,700,14:00:00,29,,,16:00:00,101,17:00:00,103,0.2,18:00:00,104,19:00:00,105,0.2,200,19:00-20:00,50,9,5,20:00:00,80,21:00:00,72,21:00-22:00,320,3.5,3.5,22:00-23:00,23:00:00,80,1:00:00,45,1:00-2:30,2:30-4:00,4:00-5:00,1200,0.15,420,0.923
106,300,,405,700,22:00:00,30,,,0:00:00,100,1:00:00,102,0.2,2:00:00,104,3:00:00,106,0.2,200,3:00-4:00,50,9,5,4:00:00,80,5:00:00,73,5:00-6:00,320,3.5,3.5,6:00-7:00,7:00:00,79,9:00:00,45,9:00-10:30,10:30-12:00,12:00-13:00,1200,0.15,400,0.902
107,300,,405,700,6:00:00,29,,,8:00:00,100,9:00:00,102,0.2,10:00:00,103,11:00:00,105,0.2,200,11:00-12:00,50,9,5,12:00:00,78,13:00:00,73,13:00-14:00,320,3.5,3.5,14:00-15:00,15:00:00,80,17:00:00,45,17:00-18:30,18:30-20:00,20:00-21:00,1200,0.15,400,0.902
110,300,,405,700,6:00:00,29,,,8:00:00,101,9:00:00,103,0.2,10:00:00,105,11:00:00,107,0.2,200,11:00-12:00,50,9,5,12:00:00,79,13:00:00,72,13:00-14:00,320,3.5,3.5,14:00-15:00,15:00:00,78,17:00:00,45,17:00-18:30,18:30-20:00,20:00-21:30,1200,0.15,400,0.902
111,300,,405,700,14:00:00,30,,,16:00:00,100,17:00:00,103,0.2,18:00:00,105,19:00:00,106,0.2,200,19:00-20:00,50,9,5,20:00:00,80,21:00:00,73,21:00-22:00,320,3.5,3.5,22:00-23:00,23:00:00,80,1:00:00,45,1:00-2:30,2:30-4:00,4:00-5:00,1200,0.15,420,0.959
112,300,,405,700,22:00:00,29,,,0:00:00,102,1:00:00,103,0.2,2:00:00,104,3:00:00,105,0.2,200,3:00-4:00,50,9,5,4:00:00,80,5:00:00,73,5:00-6:00,320,3.5,3.5,6:00-7:00,7:00:00,80,9:00:00,45,9:00-10:30,10:30-12:00,12:00-13:00,1200,0.15,400,0.891
113,300,,405,700,6:00:00,29,,,8:00:00,101,9:00:00,103,0.2,10:00:00,104,11:00:00,105,0.2,200,11:00-12:00,50,9,5,12:00:00,80,13:00:00,73,13:00-14:00,320,3.5,3.5,14:00-15:00,15:00:00,80,17:00:00,45,17:00-18:30,18:30-20:00,20:00-21:00,1200,0.15,400,0.902
115,300,,405,700,22:00:00,29,,,0:00:00,100,1:00:00,103,0.2,2:00:00,104,3:00:00,106,0.2,200,3:00-4:00,50,9,5,4:00:00,80,5:00:00,72,5:00-6:00,320,3.5,3.5,6:00-7:00,7:00:00,78,9:00:00,45,9:00-10:30,10:30-12:00,12:00-13:00,1200,0.15,400,0.902
116,300,,405,700,6:00:00,30,,,8:00:00,100,9:00:00,102,0.2,10:00:00,104,11:00:00,105,0.2,200,11:00-12:00,50,9,5,12:00:00,78,13:00:00,73,13:00-14:00,320,3.5,3.5,14:00-15:00,15:00:00,80,17:00:00,45,17:00-18:30,18:30-20:00,20:00-21:00,1200,0.15,400,0.902
117,300,,405,700,14:00:00,29,,,16:00:00,102,17:00:00,103,0.2,18:00:00,104,19:00:00,105,0.2,200,19:00-20:00,50,9,5,20:00:00,80,21:00:00,73,21:00-22:00,320,3.5,3.5,22:00-23:00,23:00:00,80,1:00:00,45,1:00-2:30,2:30-4:00,4:00-5:00,1200,0.15,420,0.935
118,300,,405,700,22:00:00,29,,,0:00:00,101,1:00:00,103,0.2,2:00:00,104,3:00:00,105,0.2,200,3:00-4:00,50,9,5,4:00:00,80,5:00:00,73,5:00-6:00,320,3.5,3.5,6:00-7:00,7:00:00,80,9:00:00,45,9:00-10:30,10:30-12:00,12:00-13:00,1200,0.15,400,0.902
120,300,,405,700,10:30:00,18,,,12:00:00,101,13:00:00,103,0.2,14:00:00,105,15:00:00,107,0.2,200,15:00-16:00,50,10,5,16:30:00,72,17:00:00,79,17:00-18:00,320,3.5,3.5,18:00-19:00,19:00:00,74,21:00:00,45,21:00-22:30,23:00-0:30,,800,0.15,400,0.902
121,300,,405,700,17:00:00,18,,,18:30:00,100,19:00:00,103,0.2,20:00:00,105,21:00:00,108,0.2,200,21:00-22:30,50,9,5,23:00:00,71,23:30:00,76,23:30-0:30,380,3.5,3.5,0:30-1:30,1:30:00,76,3:30:00,45,3:30-5:00,5:30-7:00,,800,0.15,400,0.902
